"id","name","origin","publication_year","source_role","source_role_label","source_reference","primary_source_url","radihalt_guide_url"
"shielding-textiles","Peer-reviewed electromagnetic shielding textile review","International","2022","study","Peer-reviewed study","NCBI PMC8838001","https://pmc.ncbi.nlm.nih.gov/articles/PMC8838001/","https://radihalt.com/emf-studies/shielding-textiles"
"fcc","FCC","United States","1996","mainstream-regulator","Mainstream regulator","FCC OET Bulletin 65 (1996)","https://www.fcc.gov/general/radio-frequency-safety-0","https://radihalt.com/emf-studies/fcc"
"icnirp","ICNIRP","International (WHO-recognized)","2020","mainstream-regulator","Mainstream regulator","ICNIRP RF Guidelines (2020)","https://www.icnirp.org/en/publications/article/rf-guidelines-2020.html","https://radihalt.com/emf-studies/icnirp"
"who","WHO","United Nations","2016","mainstream-regulator","Mainstream regulator","WHO Radiation: Electromagnetic Fields Q&A (2016)","https://www.who.int/news-room/questions-and-answers/item/radiation-electromagnetic-fields","https://radihalt.com/emf-studies/who"
"health-canada","Health Canada Safety Code 6","Canada","2015","mainstream-regulator","Mainstream regulator","Health Canada Safety Code 6 Technical Guide","https://www.canada.ca/en/health-canada/services/health-risks-safety/radiation/occupational-exposure-regulations/safety-code-6-radiofrequency-exposure-guidelines/technical-guide.html","https://radihalt.com/emf-studies/health-canada"
"china","China GB 8702","China","2014","national-regulator","National regulator","GB 8702-2014 (China)","https://english.mee.gov.cn/Resources/standards/Radioactivity/Electromagnetic_Radiation/201605/t20160512_337592.shtml","https://radihalt.com/emf-studies/china"
"russia","Russia SanPiN","Russia","2003","national-regulator","National regulator","SanPiN 2.1.8/2.2.4.1383-03 (Russia)","https://gostperevod.com/sanpin-2-1-8-2-2-4-1383-03.html","https://radihalt.com/emf-studies/russia"
"italy","Italy precautionary limits","Italy","2003","precautionary","Precautionary framework","DPCM 8 luglio 2003 (Italy)","https://www.bosettiegatti.eu/info/norme/statali/2003_dpcm0807.htm","https://radihalt.com/emf-studies/italy"
"switzerland","Switzerland NISV","Switzerland","1999","precautionary","Precautionary framework","NISV 814.710 (Switzerland)","https://www.bafu.admin.ch/bafu/en/home/topics/electrosmog.html","https://radihalt.com/emf-studies/switzerland"
"brussels","Brussels-Capital Region Ordinance","Belgium","2023","precautionary","Precautionary framework","Brussels Ordinance 2007 (as amended in 2023)","https://environnement.brussels/citoyen/documentation-et-outils/etat-des-lieux-de-lenvironnement/exposition-aux-ondes-electromagnetiques","https://radihalt.com/emf-studies/brussels"
"salzburg","Salzburg EMF precautionary policy record","Austria","2007","precautionary","Precautionary framework","Salzburg Landtag EMF precautionary resolution (2007)","https://www.salzburg.gv.at/00201lpi/13Gesetzgebungsperiode/5Session/198.pdf","https://radihalt.com/emf-studies/salzburg"
"council-europe","Council of Europe Resolution 1815","Council of Europe (47 nations)","2011","precautionary","Precautionary framework","Council of Europe Resolution 1815 (2011)","https://assembly.coe.int/nw/xml/XRef/Xref-XML2HTML-en.asp?fileid=17994","https://radihalt.com/emf-studies/council-europe"
"bioinitiative","BioInitiative Report","International","2020","research-body","Research body","BioInitiative Report (2012, updated 2020)","https://bioinitiative.org/","https://radihalt.com/emf-studies/bioinitiative"
"europaem","EUROPAEM EMF Guidelines","Europe","2016","physician-guideline","Physician guideline","EUROPAEM EMF Guidelines (Reviews on Environmental Health, 2016)","https://www.degruyter.com/document/doi/10.1515/reveh-2016-0011/html","https://radihalt.com/emf-studies/europaem"
"building-biology","Building Biology (IBN)","Germany","2015","research-body","Research body","Building Biology SBM-2015 Sleeping Area Standard","https://buildingbiologyinstitute.org/","https://radihalt.com/emf-studies/building-biology"
"iarc","IARC (Group 2B classification)","World Health Organization","2011","classification-body","Classification body","IARC Monograph Vol. 102 (2011), RF EMF classified Group 2B","https://www.iarc.who.int/wp-content/uploads/2018/07/pr208_E.pdf","https://radihalt.com/emf-studies/iarc"
"ntp","U.S. National Toxicology Program","United States (NIH)","2018","study","Peer-reviewed study","NTP Technical Reports 595 & 596 (2018)","https://ntp.niehs.nih.gov/whatwestudy/topics/cellphones","https://radihalt.com/emf-studies/ntp"
"ramazzini","Ramazzini Institute","Italy","2018","study","Peer-reviewed study","Falcioni et al., Environmental Research (Ramazzini Institute, 2018)","https://pubmed.ncbi.nlm.nih.gov/29530389/","https://radihalt.com/emf-studies/ramazzini"
"interphone","Interphone Study","International (WHO/IARC-coordinated)","2010","study","Peer-reviewed study","Interphone Study Group, Int. J. Epidemiology (2010)","https://academic.oup.com/ije/article/39/3/675/707348","https://radihalt.com/emf-studies/interphone"
"hardell","Hardell group studies","Sweden","2017","study","Peer-reviewed study","Carlberg & Hardell, Pathophysiology (2017)","https://pubmed.ncbi.nlm.nih.gov/28213724/","https://radihalt.com/emf-studies/hardell"
"cosmos","COSMOS prospective cohort","International (IARC-led)","2024","study","Peer-reviewed study","COSMOS prospective cohort, Environment International (2024)","https://www.iarc.who.int/news-events/mobile-phone-use-and-brain-tumour-risk-cosmos-a-prospective-cohort-study/","https://radihalt.com/emf-studies/cosmos"
"mobi-kids","MOBI-Kids study","International (14 countries)","2021","study","Peer-reviewed study","MOBI-Kids, Environment International (2021)","https://www.sciencedirect.com/science/article/pii/S0160412021006942","https://radihalt.com/emf-studies/mobi-kids"
"fcc-court-remand","2021 FCC court remand","United States","2021","precautionary","Precautionary framework","Environmental Health Trust v. FCC, D.C. Circuit (2021)","https://docs.fcc.gov/public/attachments/DOC-374936A1.pdf","https://radihalt.com/emf-studies/fcc-court-remand"
