"slug","brand","model","release_year","head_sar_w_kg","body_sar_w_kg","fcc_id","detail_url"
"iphone-15-pro-max","Apple","iPhone 15 Pro Max","2023","1.07","1.11","BCG-E8440A","https://radihalt.com/sar/iphone-15-pro-max"
"iphone-15-pro","Apple","iPhone 15 Pro","2023","1.14","1.16","BCG-E8435A","https://radihalt.com/sar/iphone-15-pro"
"iphone-15-plus","Apple","iPhone 15 Plus","2023","1.02","1.12","BCG-E8431A","https://radihalt.com/sar/iphone-15-plus"
"iphone-15","Apple","iPhone 15","2023","1.12","1.09","BCG-E8427A","https://radihalt.com/sar/iphone-15"
"iphone-14-pro-max","Apple","iPhone 14 Pro Max","2022","1.15","1.07","BCG-E8141A","https://radihalt.com/sar/iphone-14-pro-max"
"iphone-14-pro","Apple","iPhone 14 Pro","2022","1.15","1.15","BCG-E8140A","https://radihalt.com/sar/iphone-14-pro"
"iphone-14-plus","Apple","iPhone 14 Plus","2022","1.14","1.15","BCG-E8139A","https://radihalt.com/sar/iphone-14-plus"
"iphone-14","Apple","iPhone 14","2022","1.15","1.16","BCG-E8138A","https://radihalt.com/sar/iphone-14"
"iphone-13-pro-max","Apple","iPhone 13 Pro Max","2021","1.17","1.19","BCG-E4003A","https://radihalt.com/sar/iphone-13-pro-max"
"iphone-13-pro","Apple","iPhone 13 Pro","2021","1.20","1.19","BCG-E4000A","https://radihalt.com/sar/iphone-13-pro"
"iphone-13","Apple","iPhone 13","2021","1.18","1.17","BCG-E3997A","https://radihalt.com/sar/iphone-13"
"iphone-12-pro-max","Apple","iPhone 12 Pro Max","2020","1.17","1.19","BCG-E3548A","https://radihalt.com/sar/iphone-12-pro-max"
"iphone-12","Apple","iPhone 12","2020","1.17","1.19","BCG-E3542A","https://radihalt.com/sar/iphone-12"
"iphone-se-3rd-gen","Apple","iPhone SE (3rd gen)","2022","1.20","1.19","BCG-E4082A","https://radihalt.com/sar/iphone-se-3rd-gen"
"samsung-galaxy-s24-ultra","Samsung","Galaxy S24 Ultra","2024","1.26","0.62","A3LSMS928U","https://radihalt.com/sar/samsung-galaxy-s24-ultra"
"samsung-galaxy-s24-plus","Samsung","Galaxy S24+","2024","1.16","1.14","A3LSMS926U","https://radihalt.com/sar/samsung-galaxy-s24-plus"
"samsung-galaxy-s24","Samsung","Galaxy S24","2024","1.23","1.14","A3LSMS921U","https://radihalt.com/sar/samsung-galaxy-s24"
"samsung-galaxy-s23-ultra","Samsung","Galaxy S23 Ultra","2023","0.98","1.10","A3LSMS918B","https://radihalt.com/sar/samsung-galaxy-s23-ultra"
"samsung-galaxy-s23-plus","Samsung","Galaxy S23+","2023","0.72","1.01","A3LSMS916B","https://radihalt.com/sar/samsung-galaxy-s23-plus"
"samsung-galaxy-s23","Samsung","Galaxy S23","2023","0.75","0.70","A3LSMS911B","https://radihalt.com/sar/samsung-galaxy-s23"
"samsung-galaxy-s22-ultra","Samsung","Galaxy S22 Ultra","2022","1.18","0.98","A3LSMS908U","https://radihalt.com/sar/samsung-galaxy-s22-ultra"
"samsung-galaxy-a54-5g","Samsung","Galaxy A54 5G","2023","0.87","0.67","A3LSMA546U","https://radihalt.com/sar/samsung-galaxy-a54-5g"
"samsung-galaxy-a15-5g","Samsung","Galaxy A15 5G","2024","0.56","0.65","A3LSMA156U","https://radihalt.com/sar/samsung-galaxy-a15-5g"
"google-pixel-8-pro","Google","Pixel 8 Pro","2023","1.12","1.02","A4RG1MNW","https://radihalt.com/sar/google-pixel-8-pro"
"google-pixel-8","Google","Pixel 8","2023","1.05","0.99","A4RGKWS6","https://radihalt.com/sar/google-pixel-8"
"google-pixel-7-pro","Google","Pixel 7 Pro","2022","1.09","0.91","A4RGP4BC","https://radihalt.com/sar/google-pixel-7-pro"
"google-pixel-7","Google","Pixel 7","2022","1.19","1.17","A4RGVU6C","https://radihalt.com/sar/google-pixel-7"
"google-pixel-7a","Google","Pixel 7a","2023","1.20","0.95","A4RGHL1X","https://radihalt.com/sar/google-pixel-7a"
